No;Jenis Rambu;N;E;Kelurahan;Kecamatan;Kabupaten ;Tahun;Foto
1;Jalur Evakuasi;-7.7774;113.21662;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0001.png
2;Jalur Evakuasi;-7.77558;113.21238;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0002.png
3;Jalur Evakuasi;-7.75249;113.23055;Wiroborang;Mayangan;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0003.png
4;Titik Kumpul;-7.76314;113.23171;Wiroborang;Mayangan;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0004.png
5;Jalur Evakuasi;-7.76951;113.21562;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0005.png
6;Jalur Evakuasi;-7.76587;113.2138;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0006.png
7;Peringatan Banjir;-7.76137;113.21258;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0007.png
8;Jalur Evakuasi;-7.77838;113.21635;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0008.png
9;Jalur Evakuasi;-7.77933;113.21346;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0009.png
10;Jalur Evakuasi;-7.77585;113.21294;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0010.png
11;Jalur Evakuasi;-7.77591;113.21377;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0011.png
12;Titik Kumpul;-7.77591;113.21377;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0012.png
13;Jalur Evakuasi;-7.76101;113.231;Wiroborang;Mayangan;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0013.png
14;Jalur Evakuasi;-7.75546;113.2317;Wiroborang;Mayangan;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0014.png
15;Jalur Evakuasi;-7.76578;113.20413;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0015.png
16;Jalur Evakuasi;-7.76119;113.21644;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0016.png
17;Jalur Evakuasi;-7.767;113.21379;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0017.png
18;Jalur Evakuasi;-7.76347;113.21557;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0018.png
19;Titik Kumpul;-7.77889;113.21251;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0019.png
20;Peringatan Banjir;-7.78099;113.21715;Jrebeng Kidul;Wonoasih;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0020.png
21;Jalur Evakuasi;-7.77484;113.21248;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0021.png
22;Jalur Evakuasi;-7.7774;113.21378;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0022.png
23;Jalur Evakuasi;-7.78097;113.21662;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0023.png
24;Jalur Evakuasi;-7.76319;113.23222;Wiroborang;Mayangan;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0024.png
25;Titik Kumpul;-7.75717;113.23124;Wiroborang;Mayangan;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0025.png
26;Jalur Evakuasi;-7.76476;113.20023;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0026.png
27;Jalur Evakuasi;-7.76564;113.21643;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0027.png
28;Titik Kumpul;-7.7671;113.2102;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0028.png
29;Peringatan Banjir;-7.76424;113.21744;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0029.png
30;Jalur Evakuasi;-7.77487;113.21295;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0030.png
31;Jalur Evakuasi;-7.777867;113.21366;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0031.png
32;Jalur Evakuasi;-7.77758;113.21276;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0032.png
33;Jalur Evakuasi;-7.77802;113.21375;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0033.png
34;Jalur Evakuasi;-7.7807;113.21674;Jrebeng Kidul;Wonoasih;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0034.png
35;Jalur Evakuasi;-7.76162;113.23204;Wiroborang;Mayangan;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0035.png
36;Peringatan Banjir;-7.75252;113.22997;Wiroborang;Mayangan;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0036.png
37;Jalur Evakuasi;-7.76317;113.2123;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0037.png
38;Peringatan Banjir;-7.76173;113.21418;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0038.png
39;Titik Kumpul;-7.76329;113.21414;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0039.png
40;Jalur Evakuasi;-7.76848;113.21368;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0040.png
41;Jalur Evakuasi;-7.76363;113.21632;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0041.png
42;Jalur Evakuasi;-7.77768;113.21369;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0042.png
43;Jalur Evakuasi;-7.77699;113.21282;Kanigaran;Kanigaran;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0043.png
44;Jalur Evakuasi;-7.77831;113.21366;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0044.png
45;Jalur Evakuasi;-7.7808;113.2158;Jrebeng Wetan;Kedopak;Kota Probolinggo;2021;C:\Users\ardha\Documents\Data Rambu dan EWS\For GIS\Photos\0045.png
